"UniProtID","functional_class"
"Q96FL9","Enzyme"
"P97564","Enzyme"
"Q8GWG0","Enzyme"
"P38211","Enzyme"
"Q3S2Y2","Enzyme"
"Q9UTL4","Enzyme"
"P47026","Enzyme"
"Q6NMK1","Enzyme"
"P36148","Enzyme"
"Q1XHL7","Enzyme"
"Q9SGD2","Enzyme"
"Q9LY62","Enzyme"
"G3V9Q9","Enzyme"
"Q9LSB1","Enzyme"
"Q8GWB7","Enzyme"
"Q800H9","Enzyme"
"Q14DK4","Enzyme"
"P46961","Enzyme"
"P32363","Enzyme"
"P40367","Enzyme"
"P32784","Enzyme"
"A1C3L9","Enzyme"
"P23336","Enzyme"
"Q2HJ96","Enzyme"
"Q8IA43","Enzyme"
"Q8K1B9","Enzyme"
"Q9NDH7","Enzyme"
"Q5U9F2","Enzyme"
"P32866","Enzyme"
"Q9LMM0","Enzyme"
"Q07830","Enzyme"
"Q8S8P3","Enzyme"
"F4K6F1","Enzyme"
"Q6DCL5","Enzyme"
"Q9LFU9","Enzyme"
"Q4V8J4","Enzyme"
"Q9CAY3","Enzyme"
"P40582","Enzyme"
"Q9FLD7","Enzyme"
"Q9SH31","Enzyme"
"Q32KR6","Enzyme"
"P83088","Enzyme"
"Q9C8W3","Enzyme"
"Q659L1","Enzyme"
"G5EDR5","Enzyme"
"G5EE06","Enzyme"
"Q9Y2I7","Enzyme"
"Q9H3Q3","Enzyme"
"P61315","Enzyme"
"Q08271","Enzyme"
"O09160","Enzyme"
"Q11131","Enzyme"
"Q6NVP8","Enzyme"
"A5Z2X3","Enzyme"
"O96838","Enzyme"
"P29704","Enzyme"
"Q23544","Enzyme"
"Q24342","Enzyme"
"P54360","Enzyme"
"P53739","Enzyme"
"Q9VUL9","Enzyme"
"O30511","Enzyme"
"Q5F2L1","Enzyme"
"Q70AG8","Enzyme"
"Q9CA71","Enzyme"
"Q11128","Enzyme"
"Q9LSG3","Enzyme"
"P36596","Enzyme"
"Q5F2N3","Enzyme"
"Q8BHC9","Enzyme"
"Q659K9","Enzyme"
"Q99999","Enzyme"
"Q96RP7","Enzyme"
"Q9P378","Enzyme"
"Q9NWW9","Enzyme"
"Q2KNB5","Enzyme"
"O08650","Enzyme"
"Q8VWJ1","Enzyme"
"Q95SP2","Enzyme"
"Q9QZU4","Enzyme"
"Q7LGA3","Enzyme"
"Q9Y278","Enzyme"
"Q9Y663","Enzyme"
"Q8T0S6","Enzyme"
"O07777","Enzyme"
"P47124","Enzyme"
"P17710","Enzyme"
"Q5W676","Enzyme"
"Q2KNB7","Enzyme"
"Q8W4E6","Enzyme"
"Q61647","Enzyme"
"Q7Z139","Enzyme"
"P25722","Enzyme"
"Q9Y661","Enzyme"
"Q56XE8","Enzyme"
"Q6A1G2","Enzyme"
"Q9SWH5","Enzyme"
"O81053","Enzyme"
"Q9VYV5","Enzyme"
"P91200","Enzyme"
"G5EFP5","Enzyme"
"G5EEE1","Enzyme"
"O16374","Enzyme"
"Q6WV20","Enzyme"
"P34678","Enzyme"
"Q8N4A0","Enzyme"
"Q6WV17","Enzyme"
"Q9HCQ5","Enzyme"
"P0AEC5","Enzyme"
"Q9P377","Enzyme"
"Q5CAZ6","Enzyme"
"O97422","Enzyme"
"Q8L7F9","Enzyme"
"Q5EA01","Enzyme"
"Q00973","Enzyme"
"Q76KP1","Enzyme"
"Q91YY2","Enzyme"
"O48814","Enzyme"
"Q9VTG7","Enzyme"
"Q9C0J1","Enzyme"
"Q5XEZ1","Enzyme"
"Q9ASW1","Enzyme"
"Q9LV16","Enzyme"
"Q8NHY0","Enzyme"
"P08037","Enzyme"
"Q9JMK0","Enzyme"
"P32796","Enzyme"
"Q9M077","Enzyme"
"O60513","Enzyme"
"Q8R087","Enzyme"
"O88738","Enzyme"
"P36107","Enzyme"
"A7XDQ9","Enzyme"
"L7YAI7","Enzyme"
"Q6L9W6","Enzyme"
"O74475","Enzyme"
"P16442","Enzyme"
"Q10287","Enzyme"
"Q5A846","Enzyme"
"Q24157","Enzyme"
"Q336V9","Enzyme"
"Q9LS26","Enzyme"
"Q6QMT2","Enzyme"
"Q9GUM2","Enzyme"
"Q9FX86","Enzyme"
"Q0VC84","Enzyme"
"Q08BL3","Enzyme"
"Q5APD4","Enzyme"
"P47934","Enzyme"
"Q9ZUZ2","Enzyme"
"Q99MK8","Enzyme"
"Q9UIJ5","Enzyme"
"Q2THX1","Enzyme"
"Q8ND25","Enzyme"
"Q9ULT6","Enzyme"
"Q9P7P0","Enzyme"
"P0AA93","Enzyme"
"Q969W1","Enzyme"
"Q8NHG8","Enzyme"
"O14171","Enzyme"
"A1A5H8","Enzyme"
"Q32N70","Enzyme"
"P43403","Enzyme"
"B8A4F0","Enzyme"
"Q8BGJ0","Enzyme"
"Q52T38","Enzyme"
"Q2HJ95","Enzyme"
"Q91WU6","Enzyme"
"B3FN88","Enzyme"
"Q9X1N5","Enzyme"
"P56258","Enzyme"
"P93046","Enzyme"
"Q8NBI6","Enzyme"
"Q8VCS3","Enzyme"
"Q9LDH0","Enzyme"
"P14377","Enzyme"
"Q9HGN5","Enzyme"
"Q9NUE0","Enzyme"
"Q8IVQ6","Enzyme"
"P59268","Enzyme"
"A0R2W4","Enzyme"
"Q64550","Enzyme"
"Q6NUS8","Enzyme"
"P08542","Enzyme"
"Q29ST3","Enzyme"
"Q9UTK7","Enzyme"
"Q3UIR3","Enzyme"
"Q60587","Enzyme"
"P49191","Enzyme"
"Q9NXB9","Enzyme"
"Q9NYP7","Enzyme"
"Q12003","Enzyme"
"Q9LRB7","Enzyme"
"O75460","Enzyme"
"Q9JK82","Enzyme"
"Q9V730","Enzyme"
"Q9XZ08","Enzyme"
"Q9ES89","Enzyme"
"P39540","Enzyme"
"P40319","Enzyme"
"P71062","Enzyme"
"P0CB39","Enzyme"
"P30855","Enzyme"
"O01705","Enzyme"
"Q93063","Enzyme"
"Q20300","Enzyme"
"Q9D2Y9","Enzyme"
"P36555","Enzyme"
"O43909","Enzyme"
"A4VCL2","Enzyme"
"P34152","Enzyme"
"P19925","Enzyme"
"P10378","Enzyme"
"P0AEJ4","Enzyme"
"Q80TA1","Enzyme"
"P37661","Enzyme"
"O74384","Enzyme"
"Q06551","Enzyme"
"Q76MJ5","Enzyme"
"Q9Y169","Enzyme"
"P34756","Enzyme"
"P70600","Enzyme"
"P40353","Enzyme"
"Q9M0R7","Enzyme"
"Q8GW38","Enzyme"
"Q9ZV51","Enzyme"
"Q9LJL6","Enzyme"
"Q67YI6","Enzyme"
"Q8RXX9","Enzyme"
"Q502B3","Enzyme"
"Q8BG28","Enzyme"
"Q9NY97","Enzyme"
"Q9MAP8","Enzyme"
"P30844","Enzyme"
"P11274","Enzyme"
"Q07879","Enzyme"
"Q9SZL4","Enzyme"
"Q9C7E9","Enzyme"
"O80927","Enzyme"
"Q8LFY8","Enzyme"
"Q9SJJ7","Enzyme"
"Q9LZJ6","Enzyme"
"Q5Z5F2","Enzyme"
"Q9SRM0","Enzyme"
"Q9SG96","Enzyme"
"Q9LQM2","Enzyme"
"Q06067","Enzyme"
"Q5CB03","Enzyme"
"P58158","Enzyme"
"Q9BYG0","Enzyme"
"Q3USF0","Enzyme"
"Q6NQB7","Enzyme"
"Q6Y288","Enzyme"
"Q8NFL0","Enzyme"
"Q94F27","Enzyme"
"O60909","Enzyme"
"Q84W40","Enzyme"
"Q9M0C3","Enzyme"
"Q9SKK8","Enzyme"
"Q8H7N9","Enzyme"
"Q9C7I1","Enzyme"
"Q9SLC3","Enzyme"
"Q5EAE9","Enzyme"
"Q9LY41","Enzyme"
"Q9LX93","Enzyme"
"O22255","Enzyme"
"O82353","Enzyme"
"Q9LZV8","Enzyme"
"Q6NQG7","Enzyme"
"Q9LM69","Enzyme"
"P53296","Enzyme"
"O13332","Enzyme"
"Q10142","Enzyme"
"O27106","Enzyme"
"O23461","Enzyme"
"P53629","Enzyme"
"Q9KJN3","Enzyme"
"Q9Z2A7","Enzyme"
"O74850","Enzyme"
"Q08650","Enzyme"
"Q9FFN7","Enzyme"
"Q86XP1","Enzyme"
"Q13574","Enzyme"
"P9WFR5","Enzyme"
"P34413","Enzyme"
"P14020","Enzyme"
"Q05902","Enzyme"
"Q9VWR8","Enzyme"
"Q8TDB6","Enzyme"
"Q9VH58","Enzyme"
"Q9BW60","Enzyme"
"Q58CR4","Enzyme"
"P9WFF7","Enzyme"
"Q4VSN4","Enzyme"
"A2CI35","Enzyme"
"Q19192","Enzyme"
"Q9FPR3","Enzyme"
"Q9NIV1","Enzyme"
"Q9NZJ5","Enzyme"
"P25358","Enzyme"
"O35949","Enzyme"
"Q920L6","Enzyme"
"Q9SYY4","Enzyme"
"Q20303","Enzyme"
"Q54CJ4","Enzyme"
"Q9UTF7","Enzyme"
"Q9GZR5","Enzyme"
"O01346","Enzyme"
"P22140","Enzyme"
"Q8VZK9","Enzyme"
"Q84S11","Enzyme"
"Q570S7","Enzyme"
"Q339N5","Enzyme"
"K7K424","Enzyme"
"P53206","Enzyme"
"Q12887","Enzyme"
"Q80ZM8","Enzyme"
"Q9GZS9","Enzyme"
"Q8NET6","Enzyme"
"Q80V53","Enzyme"
"Q6ZN68","Enzyme"
"Q5K8R6","Enzyme"
"P0AEA5","Enzyme"
"Q05999","Enzyme"
"P77485","Enzyme"
"Q39183","Enzyme"
"Q8Y5E4","Enzyme"
"P0AEC8","Enzyme"
"Q54U87","Enzyme"
"Q6NXN4","Enzyme"
"O34757","Enzyme"
"Q96PD7","Enzyme"
"Q9S7D1","Enzyme"
"Q12382","Enzyme"
"Q09103","Enzyme"
"P34125","Enzyme"
"Q8U1Z6","Enzyme"
"Q5JDA9","Enzyme"
"Q9XUJ7","Enzyme"
"O45818","Enzyme"
"P54265","Enzyme"
"P77510","Enzyme"
"Q570Q8","Enzyme"
"A0A161IUT7","Enzyme"
"Q39017","Enzyme"
"Q38BX0","Enzyme"
"P40318","Enzyme"
"Q1AWQ0","Enzyme"
"O60103","Enzyme"
"O43085","Enzyme"
"Q9U720","Enzyme"
"Q059Y8","Enzyme"
"O80458","Enzyme"
"Q8LED0","Enzyme"
"Q6ZPD8","Enzyme"
"P46139","Enzyme"
"Q8W1S1","Enzyme"
"P49621","Enzyme"
"P52429","Enzyme"
"P49619","Enzyme"
"Q5KSL6","Enzyme"
"P52824","Enzyme"
"Q99KU1","Enzyme"
"O67379","Enzyme"
"O29976","Enzyme"
"Q5I396","Enzyme"
"P46892","Enzyme"
"Q9SIQ7","Enzyme"
"Q2QVG8","Enzyme"
"Q1PE48","Enzyme"
"Q8AY29","Enzyme"
"Q8IU89","Enzyme"
"Q8L778","Enzyme"
"P56528","Enzyme"
"Q00536","Enzyme"
"Q38870","Enzyme"
"P9WPF7","Enzyme"
"Q8BGS7","Enzyme"
"Q8TCT0","Enzyme"
"Q8N6G5","Enzyme"
"Q21054","Enzyme"
"P51166","Enzyme"
"Q9SW18","Enzyme"
"P22682","Enzyme"
"Q8VDP6","Enzyme"
"O35495","Enzyme"
"Q6AVI8","Enzyme"
"P93759","Enzyme"
"Q7XJR9","Enzyme"
"Q6ZIU9","Enzyme"
"O35052","Enzyme"
"P38221","Enzyme"
"Q9X1B7","Enzyme"
"P0DOA0","Enzyme"
"O49717","Enzyme"
"P53682","Enzyme"
"Q9SJ61","Enzyme"
"P0ABG1","Enzyme"
"Q9P381","Enzyme"
"A9TXT1","Enzyme"
"Q69XK5","Enzyme"
"A0A077K9K6","Enzyme"
"Q16880","Enzyme"
"Q5AMQ4","Enzyme"
"G5EBQ8","Enzyme"
"Q00757","Enzyme"
"Q8IZ52","Enzyme"
"Q7Z1Z1","Enzyme"
"Q9Y4C5","Enzyme"
"Q9NS84","Enzyme"
"Q7T3S3","Enzyme"
"Q8CHI9","Enzyme"
"Q84VQ3","Enzyme"
"A0AAR7","Enzyme"
"Q7K4W1","Enzyme"
"Q5VV42","Enzyme"
"Q9D6K9","Enzyme"
"Q9AV71","Enzyme"
"Q69P51","Enzyme"
"Q9H2A9","Enzyme"
"O54702","Enzyme"
"Q70JA7","Enzyme"
"P45895","Enzyme"
"Q7LGC8","Enzyme"
"Q7L1S5","Enzyme"
"Q99LL3","Enzyme"
"Q8H8U0","Enzyme"
"P0AB85","Enzyme"
"A1Z9X0","Enzyme"
"P93823","Enzyme"
"Q8L9W3","Enzyme"
"Q9FIR0","Enzyme"
"Q8LGA5","Enzyme"
"Q9XF63","Enzyme"
"Q7XLY8","Enzyme"
"Q9FL07","Enzyme"
"Q9SRQ8","Enzyme"
"Q9SN27","Enzyme"
"P0C035","Enzyme"
"Q9LUZ9","Enzyme"
"Q8RX29","Enzyme"
"Q9FGJ6","Enzyme"
"O64763","Enzyme"
"A2VEY9","Enzyme"
"O27726","Enzyme"
"Q93P60","Enzyme"
"P84285","Enzyme"
"P0AEC3","Enzyme"
"Q86ZU7","Enzyme"
"Q499N4","Enzyme"
"Q8BMS4","Enzyme"
"P0A6H8","Enzyme"
"P0AA84","Enzyme"
"Q5HYK3","Enzyme"
"P49017","Enzyme"
"O22267","Enzyme"
"O31652","Enzyme"
"O64886","Enzyme"
"P24009","Enzyme"
"F1LN46","Enzyme"
"Q07560","Enzyme"
"P05374","Enzyme"
"Q9P2E5","Enzyme"
"P14180","Enzyme"
"Q6DBY9","Enzyme"
"Q9R1I1","Enzyme"
"Q09272","Enzyme"
"Q6I587","Enzyme"
"Q9M001","Enzyme"
"P56079","Enzyme"
"O18037","Enzyme"
"Q7SAJ6","Enzyme"
"O74787","Enzyme"
"G5ECD6","Enzyme"
"P08004","Enzyme"
"Q8T5G8","Enzyme"
"Q9KM66","Enzyme"
"P32198","Enzyme"
"P17898","Enzyme"
"P52825","Enzyme"
"Q93YN1","Enzyme"
"O23386","Enzyme"
"Q2QNS6","Enzyme"
"P27680","Enzyme"
"Q5BJQ0","Enzyme"
"P27697","Enzyme"
"Q0D5R3","Enzyme"
"O70589","Enzyme"
"Q9FNI7","Enzyme"
"Q9LJP4","Enzyme"
"Q0DXZ1","Enzyme"
"P21964","Enzyme"
"Q9VHS7","Enzyme"
"P32378","Enzyme"
"P0AE82","Enzyme"
"P08401","Enzyme"
"P18900","Enzyme"
"Q10252","Enzyme"
"O49354","Enzyme"
"Q9VYF8","Enzyme"
"Q9LHZ7","Enzyme"
"Q9SZL9","Enzyme"
"Q651X7","Enzyme"
"P38226","Enzyme"
"P71040","Enzyme"
"Q93YW7","Enzyme"
"Q3UGP8","Enzyme"
"Q2EMT4","Enzyme"
"B3VA58","Enzyme"
"D4GYH0","Enzyme"
"Q5REB0","Enzyme"
"P03949","Enzyme"
"P00519","Enzyme"
"P9WMB5","Enzyme"
"P39010","Enzyme"
"F1SPM8","Enzyme"
"O54967","Enzyme"
"Q3V1N9","Enzyme"
"Q5M7X9","Enzyme"
"P0AFA2","Enzyme"
"Q1PDW3","Enzyme"
"Q8S8S2","Enzyme"
"Q643R3","Enzyme"
"P0ACV2","Enzyme"
"A9RVK2","Enzyme"
"O43318","Enzyme"
"Q5T0T0","Enzyme"
"Q9CAN8","Enzyme"
"B1Q006","Enzyme"
"O35975","Enzyme"
"Q13508","Enzyme"
"Q9JLN9","Enzyme"
"P17443","Enzyme"
"B1B3P3","Enzyme"
"P27278","Enzyme"
"P52961","Enzyme"
"P27896","Enzyme"
"E0CYC6","Enzyme"
"P46022","Enzyme"
"Q9VZJ9","Enzyme"
"Q6NTT6","Enzyme"
"Q9ZVI9","Enzyme"
"Q9SGY7","Enzyme"
"Q9LV48","Enzyme"
"Q9ZNQ8","Enzyme"
"Q9FFW5","Enzyme"
"Q5AJY5","Enzyme"
"Q5HTX9","Enzyme"
"Q0P9C7","Enzyme"
"Q54QQ1","Enzyme"
"Q9LZ76","Enzyme"
"Q99570","Enzyme"
"Q8L796","Enzyme"
"Q94BX4","Enzyme"
"Q9EQY6","Enzyme"
"Q9R1S3","Enzyme"
"Q9JJI6","Enzyme"
"Q9V7W1","Enzyme"
"Q9NUD9","Enzyme"
"Q8MT80","Enzyme"
"D7GDZ9","Enzyme"
"Q86BJ3","Enzyme"
"P06197","Enzyme"
"Q5R4R1","Enzyme"
"O00443","Enzyme"
"O75747","Enzyme"
"Q9BTU6","Enzyme"
"Q8KQL6","Enzyme"
"Q7W4D1","Enzyme"
"Q9VXE5","Enzyme"
"O66874","Enzyme"
"P02919","Enzyme"
"P76577","Enzyme"
"Q8BYI6","Enzyme"
"P40345","Enzyme"
"Q9ZUE0","Enzyme"
"O65530","Enzyme"
"O94680","Enzyme"
"Q9C660","Enzyme"
"Q9C821","Enzyme"
"Q08388","Enzyme"
"P0ABF8","Enzyme"
"Q8ZR06","Enzyme"
"Q55GV3","Enzyme"
"P0ABF1","Enzyme"
"Q9LZF8","Enzyme"
"P49584","Enzyme"
"P13259","Enzyme"
"Q89LF9","Enzyme"
"Q9HXE9","Enzyme"
"Q9LVZ7","Enzyme"
"O55173","Enzyme"
"P12868","Enzyme"
"Q8LGF7","Enzyme"
"Q03289","Enzyme"
"Q59VW6","Enzyme"
"Q8N5Y8","Enzyme"
"Q1PDV6","Enzyme"
"P16862","Enzyme"
"Q8W405","Enzyme"
"Q9F7Y9","Enzyme"
"Q17850","Enzyme"
"Q0P9D0","Enzyme"
"Q5N9A1","Enzyme"
"P9WPG5","Enzyme"
"Q91XU3","Enzyme"
"O60331","Enzyme"
"Q9CXR4","Enzyme"
"Q7Z7B1","Enzyme"
"Q86VD9","Enzyme"
"P9WI79","Enzyme"
"P9WI71","Enzyme"
"P9WI65","Enzyme"
"P05375","Enzyme"
"Q9NST1","Enzyme"
"P71707","Enzyme"
"P02918","Enzyme"
"Q8NF37","Enzyme"
"O51265","Enzyme"
"D0B707","Enzyme"
"Q5ZV56","Enzyme"
"Q9FNA9","Enzyme"
"P03355","Enzyme"
"Q99PR0","Enzyme"
"Q81WH6","Enzyme"
"A6QGC0","Enzyme"
"P23837","Enzyme"
"E9Q3L2","Enzyme"
"Q49GP3","Enzyme"
"Q92521","Enzyme"
"O64761","Enzyme"
"Q5H8A4","Enzyme"
"P11309","Enzyme"
"A0QWG6","Enzyme"
"P9WMZ9","Enzyme"
"Q9JHG7","Enzyme"
"P9WI83","Enzyme"
"P9WI77","Enzyme"
"P9WI67","Enzyme"
"A1Z7T0","Enzyme"
"Q95JH2","Enzyme"
"Q8WZA1","Enzyme"
"Q8BW41","Enzyme"
"O74189","Enzyme"
"P33775","Enzyme"
"P31382","Enzyme"
"P46971","Enzyme"
"Q9NI63","Enzyme"
"Q99640","Enzyme"
"Q8TCS8","Enzyme"
"Q0P9C6","Enzyme"
"P9WPG3","Enzyme"
"P08400","Enzyme"
"Q7SXZ1","Enzyme"
"Q5W264","Enzyme"
"O02164","Enzyme"
"O15120","Enzyme"
"O13898","Enzyme"
"P52867","Enzyme"
"P42934","Enzyme"
"P74653","Enzyme"
"Q9VZM5","Enzyme"
"Q8LBA6","Enzyme"
"P9WI63","Enzyme"
"Q8K4X7","Enzyme"
"Q9SAH5","Enzyme"
"Q91WW7","Enzyme"
"O07584","Enzyme"
"Q8DNY1","Enzyme"
"Q63433","Enzyme"
"Q22329","Enzyme"
"Q9BXM7","Enzyme"
"P28178","Enzyme"
"Q9TXI7","Enzyme"
"P9WI81","Enzyme"
"P9WI75","Enzyme"
"P9WI73","Enzyme"
"P9WI69","Enzyme"
"P26647","Enzyme"
"O18209","Enzyme"
"Q9VTK2","Enzyme"
"P03366","Enzyme"
"Q9W5D4","Enzyme"
"Q32ZD5","Enzyme"
"Q9Q6P4","Enzyme"
"G5EDY0","Enzyme"
"P9WN01","Enzyme"
"O08874","Enzyme"
"Q9D1E8","Enzyme"
"P0A7A7","Enzyme"
"Q59X23","Enzyme"
"Q66PG2","Enzyme"
"Q8IWU2","Enzyme"
"Q7TT50","Enzyme"
"P23930","Enzyme"
"Q06508","Enzyme"
"Q9SYC8","Enzyme"
"Q8L7R3","Enzyme"
"P42951","Enzyme"
"Q9KLK7","Enzyme"
"Q0WPA5","Enzyme"
"Q7XJ98","Enzyme"
"P10620","Enzyme"
"Q9CPU4","Enzyme"
"Q9UBM8","Enzyme"
"Q09328","Enzyme"
"Q765H6","Enzyme"
"Q804S5","Enzyme"
"F1LP90","Enzyme"
"Q59WF4","Enzyme"
"P53059","Enzyme"
"Q86VF5","Enzyme"
"Q63932","Enzyme"
"O53508","Enzyme"
"O66465","Enzyme"
"Q62862","Enzyme"
"Q9BVG9","Enzyme"
"Q9JK66","Enzyme"
"Q8BGQ4","Enzyme"
"P0A7B1","Enzyme"
"P03314","Enzyme"
"P03317","Enzyme"
"Q9VWV9","Enzyme"
"Q9JJJ7","Enzyme"
"Q9ZN70","Enzyme"
"O34507","Enzyme"
"O53493","Enzyme"
"P9WGK7","Enzyme"
"Q92604","Enzyme"
"Q8LG50","Enzyme"
"A7MBB4","Enzyme"
"Q9C5H5","Enzyme"
"P42679","Enzyme"
"Q80YE4","Enzyme"
"Q3TYD6","Enzyme"
"Q63796","Enzyme"
"A9SY39","Enzyme"
"Q39008","Enzyme"
"Q62925","Enzyme"
"Q6P0Q8","Enzyme"
"Q9XGM8","Enzyme"
"Q10470","Enzyme"
"O82730","Enzyme"
"Q6ZWT7","Enzyme"
"Q8WZK2","Enzyme"
"P27808","Enzyme"
"Q10469","Enzyme"
"O81770","Enzyme"
"Q11068","Enzyme"
"Q9UTR6","Enzyme"
"Q8CGY8","Enzyme"
"Q0DJC5","Enzyme"
"Q93070","Enzyme"
"O70311","Enzyme"
"Q5VST9","Enzyme"
"Q675A5","Enzyme"
"O88643","Enzyme"
"Q9XF67","Enzyme"
"A2AAJ9","Enzyme"
"P31755","Enzyme"
"Q9FK30","Enzyme"
"O70167","Enzyme"
"Q49GP5","Enzyme"
"Q9SXA1","Enzyme"
"Q681I0","Enzyme"
"Q869N2","Enzyme"
"Q9ZPY9","Enzyme"
"P75785","Enzyme"
"B9FDT1","Enzyme"
"O00750","Enzyme"
"Q9FMJ0","Enzyme"
"Q9ZB73","Enzyme"
"F4JZW1","Enzyme"
"Q07806","Enzyme"
"Q0KHU5","Enzyme"
"C7BKP9","Enzyme"
"Q54C27","Enzyme"
"Q93K12","Enzyme"
"Q7N3D3","Enzyme"
"A1JM47","Enzyme"
"Q06668","Enzyme"
"O60291","Enzyme"
"P39106","Enzyme"
"P38069","Enzyme"
"P40549","Enzyme"
"P9WGL1","Enzyme"
"Q8MY12","Enzyme"
"Q9UQ53","Enzyme"
"P21708","Enzyme"
"Q11179","Enzyme"
"Q9LJD8","Enzyme"
"Q61161","Enzyme"
"Q6ZNC8","Enzyme"
"B1Q005","Enzyme"
"Q9VVX5","Enzyme"
"Q0P496","Enzyme"
"Q6NYK8","Enzyme"
"Q05512","Enzyme"
"Q8VHF0","Enzyme"
"O01925","Enzyme"
"Q6P1A2","Enzyme"
"F1QGZ6","Enzyme"
"P32166","Enzyme"
"Q9FT88","Enzyme"
"Q54R82","Enzyme"
"Q28GW8","Enzyme"
"Q99735","Enzyme"
"Q9JM52","Enzyme"
"Q19468","Enzyme"
"Q8CHK3","Enzyme"
"Q0WUA3","Enzyme"
"Q9C5U1","Enzyme"
"Q3S4A7","Enzyme"
"O42916","Enzyme"
"P90522","Enzyme"
"O82244","Enzyme"
"P38179","Enzyme"
"A2DZE8","Enzyme"
"Q9DB25","Enzyme"
"Q8DPV9","Enzyme"
"Q9SXL4","Enzyme"
"Q9C5U2","Enzyme"
"Q9C5U0","Enzyme"
"Q9BV10","Enzyme"
"P16661","Enzyme"
"P43636","Enzyme"
"Q8K2A8","Enzyme"
"A2ELE6","Enzyme"
"Q9VLQ1","Enzyme"
"P40350","Enzyme"
"Q3T1L5","Enzyme"
"P40351","Enzyme"
"Q9H6U8","Enzyme"
"Q8CWR6","Enzyme"
"Q8INB9","Enzyme"
"C4ULG3","Enzyme"
"P9WN03","Enzyme"
"Q53H12","Enzyme"
"B3VA59","Enzyme"
"Q08548","Enzyme"
"Q7ZW24","Enzyme"
"P53954","Enzyme"
"P53730","Enzyme"
"P53868","Enzyme"
"C6KTB7","Enzyme"
"Q5RGQ2","Enzyme"
"Q921Q3","Enzyme"
"Q9H553","Enzyme"
"Q54J42","Enzyme"
"Q12001","Enzyme"
"Q9FZ49","Enzyme"
"P25628","Enzyme"
"Q8T8L8","Enzyme"
"Q9XEE9","Enzyme"
"Q9JI93","Enzyme"
"Q14BT6","Enzyme"
"P39453","Enzyme"
"Q86Y07","Enzyme"
"Q93ZR6","Enzyme"
"O22775","Enzyme"
"Q86Y38","Enzyme"
"Q965Q8","Enzyme"
"Q5QQ53","Enzyme"
"P27242","Enzyme"
"O45797","Enzyme"
"P71241","Enzyme"
"Q94AA9","Enzyme"
"Q32P99","Enzyme"
"P42681","Enzyme"
"P33296","Enzyme"
"Q8BWQ1","Enzyme"
"Q18081","Enzyme"
"Q9M0E5","Enzyme"
"P22219","Enzyme"
"Q6B9X6","Enzyme"
"Q8RY67","Enzyme"
"Q8GYF5","Enzyme"
"Q9H0M0","Enzyme"
"A7Z050","Enzyme"
"P22543","Enzyme"
"P10799","Enzyme"
"Q9Y2C2","Enzyme"
"O32274","Enzyme"
"Q4R5N4","Enzyme"
"Q2TA03","Enzyme"
"O42646","Enzyme"
"Q02159","Enzyme"
"W0SKS3","Enzyme"
"Q9V3R8","Enzyme"
"P0AGK1","Enzyme"
"Q2TL32","Enzyme"
"Q9QY01","Enzyme"
"Q9JJZ4","Enzyme"
"Q9LSP7","Enzyme"
"Q28HR4","Enzyme"
"Q54LP7","Enzyme"
"Q5HH69","Enzyme"
"P04818","Enzyme"
"P36096","Enzyme"
"Q9SHI7","Enzyme"
"Q9ZQ94","Enzyme"
"Q21706","Enzyme"
"Q22295","Enzyme"
"Q54ES8","Enzyme"
"P78817","Enzyme"
"P42640","Enzyme"
"P12688","Enzyme"
"P39349","Enzyme"
"P36015","Enzyme"
"P54002","Enzyme"
"P54166","Enzyme"
"P09835","Enzyme"
"Q9LMN8","Enzyme"
"Q9S9M2","Enzyme"
"Q9C9L5","Enzyme"
"Q0WNY5","Enzyme"
"Q3UH66","Enzyme"
"Q9H1B5","Enzyme"
"Q9LZM4","Enzyme"
"Q8VXZ5","Enzyme"
"P0A9M5","Enzyme"
"P47735","Enzyme"
"Q8GUK7","Enzyme"
"Q5RCV8","Enzyme"
"P93194","Enzyme"
"P93030","Enzyme"
"Q9SA25","Enzyme"
"Q9M342","Enzyme"
"P9WMW5","Enzyme"
"Q9Y3S1","Enzyme"
"Q9M9U0","Enzyme"
"G4SLH0","Enzyme"
"P91133","Enzyme"
"Q5U430","Enzyme"
"P15565","Enzyme"
"Q10941","Enzyme"
"Q9USX0","Enzyme"
"Q8H1D6","Enzyme"
"Q84WV9","Enzyme"
"P0C6X7","Enzyme"
"Q9D304","Enzyme"
"Q58EC8","Enzyme"
"Q3U827","Enzyme"
"P50636","Enzyme"
"Q8N6D2","Enzyme"
"Q9H6Y7","Enzyme"
"Q5ZIR9","Enzyme"
"Q6ZMZ0","Enzyme"
"Q99942","Enzyme"
"O00237","Enzyme"
"Q9D9R0","Enzyme"
"Q9BY78","Enzyme"
"Q6AYH3","Enzyme"
"O64425","Enzyme"
"Q3U2C5","Enzyme"
"Q5NCP0","Enzyme"
"Q13554","Enzyme"
"Q1PEM5","Enzyme"
"Q8GX23","Enzyme"
"P42836","Enzyme"
"Q12006","Enzyme"
"O80952","Enzyme"
"Q6U7H8","Enzyme"
"Q06651","Enzyme"
"O94584","Enzyme"
"P23830","Enzyme"
"P44704","Enzyme"
"P08456","Enzyme"
"P37271","Enzyme"
"B9DFG5","Enzyme"
"P48651","Enzyme"
"Q64434","Enzyme"
"E4NKF8","Enzyme"
"Q9UTG2","Enzyme"
"Q9XIJ5","Enzyme"
